2024-09-27 09:44:54,711 - INFO - Cargando el modelo base desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-27 09:44:54,716 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-27 09:44:54,717 - INFO - Capas convolucionales congeladas.
2024-09-27 09:44:54,717 - INFO - Entrenando en dificultad 3
2024-09-27 09:44:57,265 - INFO - Ep.: 0, Score: -9.0, Steps: 2598, Avg Q-val: 1.29, Mem Usage: 5.4%, tot_steps: 2599
2024-09-27 09:44:59,290 - INFO - Ep.: 1, Score: -17.0, Steps: 2116, Avg Q-val: 1.26, Mem Usage: 5.8%, tot_steps: 4716
2024-09-27 09:45:01,745 - INFO - Ep.: 2, Score: -12.0, Steps: 2564, Avg Q-val: 1.26, Mem Usage: 6.3%, tot_steps: 7281
2024-09-27 09:45:04,305 - INFO - Ep.: 3, Score: -13.0, Steps: 2596, Avg Q-val: 1.25, Mem Usage: 7.0%, tot_steps: 9878
2024-09-27 09:45:07,934 - INFO - Ep.: 4, Score: -7.0, Steps: 3566, Avg Q-val: 1.27, Mem Usage: 7.9%, tot_steps: 13445
2024-09-27 09:45:09,749 - INFO - Ep.: 5, Score: -17.0, Steps: 1756, Avg Q-val: 1.30, Mem Usage: 8.4%, tot_steps: 15202
2024-09-27 09:45:11,481 - INFO - Ep.: 6, Score: -17.0, Steps: 1672, Avg Q-val: 1.28, Mem Usage: 8.8%, tot_steps: 16875
2024-09-27 09:45:12,876 - INFO - Ep.: 7, Score: -18.0, Steps: 1334, Avg Q-val: 1.26, Mem Usage: 9.2%, tot_steps: 18210
2024-09-27 09:45:14,351 - INFO - Ep.: 8, Score: -19.0, Steps: 1419, Avg Q-val: 1.27, Mem Usage: 9.6%, tot_steps: 19630
2024-09-27 09:45:16,157 - INFO - Ep.: 9, Score: -16.0, Steps: 1749, Avg Q-val: 1.27, Mem Usage: 10.0%, tot_steps: 21380
2024-09-27 09:45:18,306 - INFO - Ep.: 10, Score: -15.0, Steps: 2129, Avg Q-val: 1.27, Mem Usage: 10.6%, tot_steps: 23510
2024-09-27 09:45:19,723 - INFO - Ep.: 11, Score: -18.0, Steps: 1366, Avg Q-val: 1.31, Mem Usage: 11.0%, tot_steps: 24877
2024-09-27 09:45:21,478 - INFO - Ep.: 12, Score: -17.0, Steps: 1727, Avg Q-val: 1.31, Mem Usage: 11.4%, tot_steps: 26605
2024-09-27 09:45:23,454 - INFO - Ep.: 13, Score: -17.0, Steps: 1944, Avg Q-val: 1.24, Mem Usage: 12.0%, tot_steps: 28550
2024-09-27 09:45:25,904 - INFO - Ep.: 14, Score: -17.0, Steps: 2424, Avg Q-val: 1.27, Mem Usage: 12.6%, tot_steps: 30975
2024-09-27 09:45:28,267 - INFO - Ep.: 15, Score: -13.0, Steps: 2331, Avg Q-val: 1.27, Mem Usage: 13.2%, tot_steps: 33307
2024-09-27 09:45:31,338 - INFO - Ep.: 16, Score: -13.0, Steps: 3060, Avg Q-val: 1.26, Mem Usage: 14.0%, tot_steps: 36368
2024-09-27 09:45:33,794 - INFO - Ep.: 17, Score: -11.0, Steps: 2463, Avg Q-val: 1.23, Mem Usage: 14.7%, tot_steps: 38832
2024-09-27 09:45:35,593 - INFO - Ep.: 18, Score: -17.0, Steps: 1775, Avg Q-val: 1.28, Mem Usage: 15.1%, tot_steps: 40608
2024-09-27 09:45:37,900 - INFO - Ep.: 19, Score: -15.0, Steps: 2271, Avg Q-val: 1.29, Mem Usage: 15.7%, tot_steps: 42880
2024-09-27 09:45:39,184 - INFO - Ep.: 20, Score: -18.0, Steps: 1244, Avg Q-val: 1.29, Mem Usage: 16.0%, tot_steps: 44125
2024-09-27 09:45:41,459 - INFO - Ep.: 21, Score: -13.0, Steps: 2256, Avg Q-val: 1.25, Mem Usage: 16.6%, tot_steps: 46382
2024-09-27 09:45:43,866 - INFO - Ep.: 22, Score: -13.0, Steps: 2386, Avg Q-val: 1.27, Mem Usage: 17.2%, tot_steps: 48769
2024-09-27 09:45:46,525 - INFO - Ep.: 23, Score: -12.0, Steps: 2656, Avg Q-val: 1.30, Mem Usage: 17.8%, tot_steps: 51426
2024-09-27 09:45:49,543 - INFO - Ep.: 24, Score: -13.0, Steps: 3004, Avg Q-val: 1.27, Mem Usage: 18.6%, tot_steps: 54431
2024-09-27 09:45:51,939 - INFO - Ep.: 25, Score: -14.0, Steps: 2371, Avg Q-val: 1.26, Mem Usage: 19.2%, tot_steps: 56803
2024-09-27 09:45:54,223 - INFO - Ep.: 26, Score: -16.0, Steps: 2258, Avg Q-val: 1.30, Mem Usage: 19.7%, tot_steps: 59062
2024-09-27 09:45:55,500 - INFO - Ep.: 27, Score: -19.0, Steps: 1233, Avg Q-val: 1.29, Mem Usage: 20.0%, tot_steps: 60296
2024-09-27 09:45:58,490 - INFO - Ep.: 28, Score: -11.0, Steps: 2982, Avg Q-val: 1.25, Mem Usage: 20.8%, tot_steps: 63279
2024-09-27 09:45:59,920 - INFO - Ep.: 29, Score: -18.0, Steps: 1396, Avg Q-val: 1.28, Mem Usage: 21.1%, tot_steps: 64676
2024-09-27 09:46:02,064 - INFO - Ep.: 30, Score: -15.0, Steps: 2089, Avg Q-val: 1.29, Mem Usage: 21.7%, tot_steps: 66766
2024-09-27 09:46:03,790 - INFO - Ep.: 31, Score: -14.0, Steps: 1685, Avg Q-val: 1.31, Mem Usage: 22.1%, tot_steps: 68452
2024-09-27 09:46:05,114 - INFO - Ep.: 32, Score: -18.0, Steps: 1276, Avg Q-val: 1.26, Mem Usage: 22.4%, tot_steps: 69729
2024-09-27 09:46:07,729 - INFO - Ep.: 33, Score: -18.0, Steps: 2579, Avg Q-val: 1.25, Mem Usage: 23.1%, tot_steps: 72309
2024-09-27 09:46:08,860 - INFO - Ep.: 34, Score: -18.0, Steps: 1084, Avg Q-val: 1.26, Mem Usage: 23.3%, tot_steps: 73394
2024-09-27 09:46:10,282 - INFO - Ep.: 35, Score: -16.0, Steps: 1381, Avg Q-val: 1.25, Mem Usage: 23.7%, tot_steps: 74776
2024-09-27 09:46:12,591 - INFO - Ep.: 36, Score: -13.0, Steps: 2285, Avg Q-val: 1.26, Mem Usage: 24.3%, tot_steps: 77062
