2024-09-26 11:34:19,484 - INFO - Cargando el modelo base desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-26 11:34:19,489 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-26 11:34:19,489 - INFO - Capas convolucionales congeladas.
2024-09-26 11:34:19,489 - INFO - Entrenando en dificultad 3
2024-09-26 11:34:20,778 - INFO - Ep.: 0, Score: -18.0, Steps: 1300, Avg Q-val: 1.28, Mem Usage: 8.0%, tot_steps: 1301
2024-09-26 11:34:22,834 - INFO - Ep.: 1, Score: -14.0, Steps: 2315, Avg Q-val: 1.27, Mem Usage: 8.3%, tot_steps: 3617
2024-09-26 11:34:24,500 - INFO - Ep.: 2, Score: -16.0, Steps: 1853, Avg Q-val: 1.27, Mem Usage: 8.4%, tot_steps: 5471
2024-09-26 11:34:26,527 - INFO - Ep.: 3, Score: -13.0, Steps: 2282, Avg Q-val: 1.27, Mem Usage: 8.7%, tot_steps: 7754
2024-09-26 11:34:28,040 - INFO - Ep.: 4, Score: -17.0, Steps: 1686, Avg Q-val: 1.27, Mem Usage: 8.8%, tot_steps: 9441
2024-09-26 11:34:30,125 - INFO - Ep.: 5, Score: -15.0, Steps: 2352, Avg Q-val: 1.27, Mem Usage: 9.0%, tot_steps: 11794
2024-09-26 11:34:31,644 - INFO - Ep.: 6, Score: -16.0, Steps: 1699, Avg Q-val: 1.28, Mem Usage: 9.2%, tot_steps: 13494
2024-09-26 11:34:33,686 - INFO - Ep.: 7, Score: -13.0, Steps: 2313, Avg Q-val: 1.28, Mem Usage: 9.4%, tot_steps: 15808
2024-09-26 11:34:36,012 - INFO - Ep.: 8, Score: -8.0, Steps: 2659, Avg Q-val: 1.27, Mem Usage: 9.6%, tot_steps: 18468
2024-09-26 11:34:38,234 - INFO - Ep.: 9, Score: -13.0, Steps: 2541, Avg Q-val: 1.27, Mem Usage: 9.9%, tot_steps: 21010
2024-09-26 11:34:39,741 - INFO - Ep.: 10, Score: -17.0, Steps: 1696, Avg Q-val: 1.27, Mem Usage: 10.0%, tot_steps: 22707
2024-09-26 11:34:41,500 - INFO - Ep.: 11, Score: -13.0, Steps: 1994, Avg Q-val: 1.27, Mem Usage: 10.2%, tot_steps: 24702
2024-09-26 11:34:42,624 - INFO - Ep.: 12, Score: -18.0, Steps: 1246, Avg Q-val: 1.27, Mem Usage: 10.3%, tot_steps: 25949
2024-09-26 11:34:43,936 - INFO - Ep.: 13, Score: -16.0, Steps: 1461, Avg Q-val: 1.27, Mem Usage: 10.4%, tot_steps: 27411
2024-09-26 11:34:46,007 - INFO - Ep.: 14, Score: -12.0, Steps: 2358, Avg Q-val: 1.28, Mem Usage: 10.6%, tot_steps: 29770
2024-09-26 11:34:47,565 - INFO - Ep.: 15, Score: -18.0, Steps: 1749, Avg Q-val: 1.28, Mem Usage: 10.7%, tot_steps: 31520
2024-09-26 11:34:49,376 - INFO - Ep.: 16, Score: -15.0, Steps: 2046, Avg Q-val: 1.27, Mem Usage: 10.9%, tot_steps: 33567
2024-09-26 11:34:51,263 - INFO - Ep.: 17, Score: -18.0, Steps: 2133, Avg Q-val: 1.27, Mem Usage: 11.1%, tot_steps: 35701
2024-09-26 11:34:52,909 - INFO - Ep.: 18, Score: -14.0, Steps: 1851, Avg Q-val: 1.27, Mem Usage: 11.2%, tot_steps: 37553
2024-09-26 11:34:54,998 - INFO - Ep.: 19, Score: -12.0, Steps: 2376, Avg Q-val: 1.27, Mem Usage: 11.4%, tot_steps: 39930
2024-09-26 11:34:56,246 - INFO - Ep.: 20, Score: -17.0, Steps: 1374, Avg Q-val: 1.27, Mem Usage: 11.6%, tot_steps: 41305
2024-09-26 11:34:57,657 - INFO - Ep.: 21, Score: -17.0, Steps: 1574, Avg Q-val: 1.28, Mem Usage: 11.7%, tot_steps: 42880
2024-09-26 11:35:00,488 - INFO - Ep.: 22, Score: -10.0, Steps: 3241, Avg Q-val: 1.28, Mem Usage: 12.0%, tot_steps: 46122
2024-09-26 11:35:01,952 - INFO - Ep.: 23, Score: -17.0, Steps: 1637, Avg Q-val: 1.27, Mem Usage: 12.1%, tot_steps: 47760
2024-09-26 11:35:04,056 - INFO - Ep.: 24, Score: -13.0, Steps: 2391, Avg Q-val: 1.27, Mem Usage: 12.3%, tot_steps: 50152
2024-09-26 11:35:05,345 - INFO - Ep.: 25, Score: -19.0, Steps: 1426, Avg Q-val: 1.28, Mem Usage: 12.4%, tot_steps: 51579
2024-09-26 11:35:07,232 - INFO - Ep.: 26, Score: -14.0, Steps: 2129, Avg Q-val: 1.28, Mem Usage: 12.6%, tot_steps: 53709
2024-09-26 11:35:08,826 - INFO - Ep.: 27, Score: -17.0, Steps: 1786, Avg Q-val: 1.28, Mem Usage: 12.7%, tot_steps: 55496
2024-09-26 11:35:09,856 - INFO - Ep.: 28, Score: -19.0, Steps: 1116, Avg Q-val: 1.28, Mem Usage: 12.8%, tot_steps: 56613
2024-09-26 11:35:11,663 - INFO - Ep.: 29, Score: -15.0, Steps: 2035, Avg Q-val: 1.28, Mem Usage: 13.0%, tot_steps: 58649
2024-09-26 11:35:14,379 - INFO - Ep.: 30, Score: -14.0, Steps: 3000, Avg Q-val: 1.27, Mem Usage: 13.5%, tot_steps: 61650
2024-09-26 11:35:15,700 - INFO - Ep.: 31, Score: -18.0, Steps: 1364, Avg Q-val: 1.27, Mem Usage: 13.8%, tot_steps: 63015
2024-09-26 11:35:18,253 - INFO - Ep.: 32, Score: -12.0, Steps: 2688, Avg Q-val: 1.27, Mem Usage: 14.2%, tot_steps: 65704
2024-09-26 11:35:20,181 - INFO - Ep.: 33, Score: -16.0, Steps: 2000, Avg Q-val: 1.27, Mem Usage: 14.5%, tot_steps: 67705
2024-09-26 11:35:21,674 - INFO - Ep.: 34, Score: -18.0, Steps: 1525, Avg Q-val: 1.27, Mem Usage: 14.8%, tot_steps: 69231
2024-09-26 11:35:23,440 - INFO - Ep.: 35, Score: -14.0, Steps: 1844, Avg Q-val: 1.27, Mem Usage: 15.1%, tot_steps: 71076
2024-09-26 11:35:25,522 - INFO - Ep.: 36, Score: -16.0, Steps: 2193, Avg Q-val: 1.28, Mem Usage: 15.5%, tot_steps: 73270
2024-09-26 11:35:26,558 - INFO - Ep.: 37, Score: -19.0, Steps: 1038, Avg Q-val: 1.28, Mem Usage: 15.7%, tot_steps: 74309
2024-09-26 11:35:28,410 - INFO - Ep.: 38, Score: -17.0, Steps: 1943, Avg Q-val: 1.28, Mem Usage: 16.0%, tot_steps: 76253
2024-09-26 11:35:29,754 - INFO - Ep.: 39, Score: -18.0, Steps: 1379, Avg Q-val: 1.28, Mem Usage: 16.3%, tot_steps: 77633
2024-09-26 11:35:31,339 - INFO - Ep.: 40, Score: -17.0, Steps: 1658, Avg Q-val: 1.28, Mem Usage: 16.6%, tot_steps: 79292
2024-09-26 11:35:33,596 - INFO - Ep.: 41, Score: -14.0, Steps: 2389, Avg Q-val: 1.27, Mem Usage: 17.0%, tot_steps: 81682
2024-09-26 11:35:36,095 - INFO - Ep.: 42, Score: -14.0, Steps: 2639, Avg Q-val: 1.27, Mem Usage: 17.4%, tot_steps: 84322
