2024-09-26 11:35:52,883 - INFO - Cargando el modelo base desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-26 11:35:52,889 - INFO - Modelo preentrenado cargado desde /data/riwamoto/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-26 11:35:52,889 - INFO - Capas convolucionales congeladas.
2024-09-26 11:35:52,889 - INFO - Entrenando en dificultad 3
2024-09-26 11:35:55,420 - INFO - Ep.: 0, Score: -15.0, Steps: 2175, Avg Q-val: 1.28, Mem Usage: 20.9%, tot_steps: 2176
2024-09-26 11:35:58,584 - INFO - Ep.: 1, Score: -12.0, Steps: 2879, Avg Q-val: 1.28, Mem Usage: 21.5%, tot_steps: 5056
2024-09-26 11:36:00,186 - INFO - Ep.: 2, Score: -17.0, Steps: 1420, Avg Q-val: 1.29, Mem Usage: 21.7%, tot_steps: 6477
2024-09-26 11:36:02,226 - INFO - Ep.: 3, Score: -17.0, Steps: 1829, Avg Q-val: 1.29, Mem Usage: 22.1%, tot_steps: 8307
2024-09-26 11:36:04,309 - INFO - Ep.: 4, Score: -18.0, Steps: 1842, Avg Q-val: 1.28, Mem Usage: 22.4%, tot_steps: 10150
2024-09-26 11:36:07,189 - INFO - Ep.: 5, Score: -16.0, Steps: 2633, Avg Q-val: 1.27, Mem Usage: 22.9%, tot_steps: 12784
2024-09-26 11:36:09,779 - INFO - Ep.: 6, Score: -12.0, Steps: 2330, Avg Q-val: 1.28, Mem Usage: 23.3%, tot_steps: 15115
2024-09-26 11:36:12,231 - INFO - Ep.: 7, Score: -12.0, Steps: 2222, Avg Q-val: 1.28, Mem Usage: 23.7%, tot_steps: 17338
2024-09-26 11:36:14,531 - INFO - Ep.: 8, Score: -16.0, Steps: 2102, Avg Q-val: 1.27, Mem Usage: 24.0%, tot_steps: 19441
2024-09-26 11:36:17,855 - INFO - Ep.: 9, Score: -8.0, Steps: 3059, Avg Q-val: 1.27, Mem Usage: 24.5%, tot_steps: 22501
2024-09-26 11:36:20,109 - INFO - Ep.: 10, Score: -17.0, Steps: 2025, Avg Q-val: 1.27, Mem Usage: 24.9%, tot_steps: 24527
2024-09-26 11:36:22,071 - INFO - Ep.: 11, Score: -14.0, Steps: 1775, Avg Q-val: 1.27, Mem Usage: 25.2%, tot_steps: 26303
2024-09-26 11:36:23,718 - INFO - Ep.: 12, Score: -18.0, Steps: 1469, Avg Q-val: 1.27, Mem Usage: 25.4%, tot_steps: 27773
2024-09-26 11:36:26,061 - INFO - Ep.: 13, Score: -13.0, Steps: 2115, Avg Q-val: 1.27, Mem Usage: 25.8%, tot_steps: 29889
2024-09-26 11:36:28,974 - INFO - Ep.: 14, Score: -12.0, Steps: 2667, Avg Q-val: 1.27, Mem Usage: 26.2%, tot_steps: 32557
2024-09-26 11:36:31,509 - INFO - Ep.: 15, Score: -11.0, Steps: 2302, Avg Q-val: 1.27, Mem Usage: 26.6%, tot_steps: 34860
